Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        6     0.00     0.00  std::__deque_buf_size(unsigned long)
  0.00      0.00     0.00        4     0.00     0.00  std::_Deque_iterator<final_order, final_order&, final_order*>::_Deque_iterator(std::_Deque_iterator<final_order, final_order&, final_order*> const&)
  0.00      0.00     0.00        4     0.00     0.00  customer const& std::forward<customer const&>(std::remove_reference<customer const&>::type&)
  0.00      0.00     0.00        3     0.00     0.00  validations::valid_length(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, int)
  0.00      0.00     0.00        3     0.00     0.00  customer::~customer()
  0.00      0.00     0.00        3     0.00     0.00  __gnu_cxx::__aligned_membuf<customer>::_M_ptr()
  0.00      0.00     0.00        3     0.00     0.00  __gnu_cxx::__aligned_membuf<customer>::_M_addr()
  0.00      0.00     0.00        3     0.00     0.00  std::_List_node<customer>::_M_valptr()
  0.00      0.00     0.00        3     0.00     0.00  std::_List_iterator<customer>::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.00     0.00        2     0.00     0.00  __gthread_active_p()
  0.00      0.00     0.00        2     0.00     0.00  customer::show_customer()
  0.00      0.00     0.00        2     0.00     0.00  customer::get_cid()
  0.00      0.00     0.00        2     0.00     0.00  customer::get_cname[abi:cxx11]()
  0.00      0.00     0.00        2     0.00     0.00  customer::get_email[abi:cxx11]()
  0.00      0.00     0.00        2     0.00     0.00  customer::get_phone[abi:cxx11]()
  0.00      0.00     0.00        2     0.00     0.00  customer::customer(customer const&)
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<final_order>::new_allocator()
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<final_order>::~new_allocator()
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<final_order*>::new_allocator()
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<final_order*>::~new_allocator()
  0.00      0.00     0.00        2     0.00     0.00  std::_Deque_base<final_order, std::allocator<final_order> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00        2     0.00     0.00  std::_Deque_base<final_order, std::allocator<final_order> >::_M_get_map_allocator() const
  0.00      0.00     0.00        2     0.00     0.00  std::allocator<final_order>::allocator()
  0.00      0.00     0.00        2     0.00     0.00  std::allocator<final_order>::~allocator()
  0.00      0.00     0.00        2     0.00     0.00  std::allocator<final_order*>::allocator<final_order>(std::allocator<final_order> const&)
  0.00      0.00     0.00        2     0.00     0.00  std::allocator<final_order*>::~allocator()
  0.00      0.00     0.00        2     0.00     0.00  std::_Deque_base<final_order, std::allocator<final_order> >::_M_get_Tp_allocator()
  0.00      0.00     0.00        2     0.00     0.00  void std::_Destroy_aux<false>::__destroy<final_order*>(final_order*, final_order*)
  0.00      0.00     0.00        2     0.00     0.00  std::numeric_limits<long>::max()
  0.00      0.00     0.00        2     0.00     0.00  std::_Deque_iterator<final_order, final_order&, final_order*>::_M_set_node(final_order**)
  0.00      0.00     0.00        2     0.00     0.00  std::_Deque_iterator<final_order, final_order&, final_order*>::_S_buffer_size()
  0.00      0.00     0.00        2     0.00     0.00  std::_Deque_iterator<final_order, final_order&, final_order*>::_Deque_iterator()
  0.00      0.00     0.00        2     0.00     0.00  std::__cxx11::_List_base<customer, std::allocator<customer> >::_M_get_Node_allocator()
  0.00      0.00     0.00        2     0.00     0.00  std::__cxx11::list<customer, std::allocator<customer> >::end()
  0.00      0.00     0.00        2     0.00     0.00  std::__detail::_List_node_header::_M_init()
  0.00      0.00     0.00        2     0.00     0.00  std::__detail::_List_node_header::_List_node_header()
  0.00      0.00     0.00        2     0.00     0.00  void std::_Destroy<final_order*>(final_order*, final_order*)
  0.00      0.00     0.00        2     0.00     0.00  void std::_Destroy<final_order*, final_order>(final_order*, final_order*, std::allocator<final_order>&)
  0.00      0.00     0.00        2     0.00     0.00  std::operator!=(std::_List_iterator<customer> const&, std::_List_iterator<customer> const&)
  0.00      0.00     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN11validations12valid_lengthENSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEii
  0.00      0.00     0.00        1     0.00     0.00  file_maintenance()
  0.00      0.00     0.00        1     0.00     0.00  show_customer_list()
  0.00      0.00     0.00        1     0.00     0.00  customer_registration()
  0.00      0.00     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.00     0.00        1     0.00     0.00  __gthread_mutex_lock(pthread_mutex_t*)
  0.00      0.00     0.00        1     0.00     0.00  __gthread_mutex_unlock(pthread_mutex_t*)
  0.00      0.00     0.00        1     0.00     0.00  validations::valid_phone(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      0.00     0.00        1     0.00     0.00  customer::set_cid(long long)
  0.00      0.00     0.00        1     0.00     0.00  customer::set_pass()
  0.00      0.00     0.00        1     0.00     0.00  customer::set_cname()
  0.00      0.00     0.00        1     0.00     0.00  customer::set_email()
  0.00      0.00     0.00        1     0.00     0.00  customer::set_phone()
  0.00      0.00     0.00        1     0.00     0.00  customer::customer()
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<final_order>::deallocate(final_order*, unsigned long)
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<final_order>::allocate(unsigned long, void const*)
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<order>::new_allocator()
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<order>::~new_allocator()
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<final_order*>::deallocate(final_order**, unsigned long)
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<final_order*>::allocate(unsigned long, void const*)
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<product> >::new_allocator()
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<product> >::~new_allocator()
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<customer> >::deallocate(std::_List_node<customer>*, unsigned long)
